"Variable / Field Name" "Form Name" "CTCC Name" "Section Header" "Field Type" "Field Label" "Choices, Calculations, OR Slider Labels" "Field Note" "Text Validation Type OR Show Slider Number"
"200" "mdsupdrsrigiditylue_2" "mdsupdrs_physician_exam" "NP3RIGLU" NA "radio" "3.3 RIGIDITY - LUE" "0, 0 (Normal: No rigidity.) | 1, 1 (Slight: Rigidity only detected with activation maneuver.) | 2, 2 (Mild: Rigidity detected without the activation maneuver, but full range of motion is easily achieved.) | 3, 3 (Moderate: Rigidity detected without the activation maneuver; full range of motion is achieved with effort.) | 4, 4 (Severe: Rigidity detected without the activation maneuver and full range of motion not achieved.)" NA NA
"201" "mdsupdrsrigidityrle_2" "mdsupdrs_physician_exam" "NP3RIGRL" NA "radio" "3.3 RIGIDITY - RLE" "0, 0 (Normal: No rigidity.) | 1, 1 (Slight: Rigidity only detected with activation maneuver.) | 2, 2 (Mild: Rigidity detected without the activation maneuver, but full range of motion is easily achieved.) | 3, 3 (Moderate: Rigidity detected without the activation maneuver; full range of motion is achieved with effort.) | 4, 4 (Severe: Rigidity detected without the activation maneuver and full range of motion not achieved.)" NA NA
"202" "mdsupdrsrigiditylle_2" "mdsupdrs_physician_exam" "NP3RIGLL" NA "radio" "3.3 RIGIDITY - LLE" "0, 0 (Normal: No rigidity.) | 1, 1 (Slight: Rigidity only detected with activation maneuver.) | 2, 2 (Mild: Rigidity detected without the activation maneuver, but full range of motion is easily achieved.) | 3, 3 (Moderate: Rigidity detected without the activation maneuver; full range of motion is achieved with effort.) | 4, 4 (Severe: Rigidity detected without the activation maneuver and full range of motion not achieved.)" NA NA
"203" "mdsupdrsfingertppngrtehnds_2" "mdsupdrs_physician_exam" "NP3FTAPR" NA "radio" "3.4 FINGER TAPPING - Right" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the tapping movement b) slight slowing c) the amplitude decrements near the end of the 10 taps.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during tapping b) mild slowing c) the amplitude decrements midway in the 10-tap sequence.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during tapping or at least one longer arrest (freeze) in ongoing movement b) moderate slowing c) the amplitude decrements starting after the 1st tap.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"204" "mdsupdrsfingertppnglfthnds_2" "mdsupdrs_physician_exam" "NP3FTAPL" NA "radio" "3.4 FINGER TAPPING - Left" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the tapping movement b) slight slowing c) the amplitude decrements near the end of the 10 taps.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during tapping b) mild slowing c) the amplitude decrements midway in the 10-tap sequence.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during tapping or at least one longer arrest (freeze) in ongoing movement b) moderate slowing c) the amplitude decrements starting after the 1st tap.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"205" "mdsupdrsrtehndscore_2" "mdsupdrs_physician_exam" "NP3HMOVR" NA "radio" "3.5 HAND MOVEMENTS - Right" "0, 0 (Normal: No problem.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the task.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the task.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) the amplitude decrements starting after the 1st open-and-close sequence.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"206" "mdsupdrslfthndscore_2" "mdsupdrs_physician_exam" "NP3HMOVL" NA "radio" "3.5 HAND MOVEMENTS - Left" "0, 0 (Normal: No problem.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the task.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the task.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) the amplitude decrements starting after the 1st open-and-close sequence.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"207" "mdsupdrsprontsupnrthndmvmt_2" "mdsupdrs_physician_exam" "NP3PRSPR" NA "radio" "3.6 PRONATION-SUPINATION MOVEMENTS OF HANDS - Right" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the sequence.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the sequence.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing c) the amplitude decrements starting after the 1st supination-pronation sequence.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"208" "pronatsupinlfthndmvmntscor_2" "mdsupdrs_physician_exam" "NP3PRSPL" NA "radio" "3.6 PRONATION-SUPINATION MOVEMENTS OF HANDS - Left" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the sequence.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the sequence.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing c) the amplitude decrements starting after the 1st supination-pronation sequence.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"209" "rtefttoetppngscore_2" "mdsupdrs_physician_exam" "NP3TTAPR" NA "radio" "3.7 TOE TAPPING - Right" "0, 0 (Normal: No problem.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions, or hesitations of the tapping movement, b) slight slowing c) amplitude decrements near the end of the ten taps.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the tapping movements, b) mild slowing, c) amplitude decrements midway in the task.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the tapping movements or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) amplitude decrements after the first tap.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"210" "mdsupdrslftfttoetppngscore_2" "mdsupdrs_physician_exam" "NP3TTAPL" NA "radio" "3.7 TOE TAPPING - Left" "0, 0 (Normal: No problem.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions, or hesitations of the tapping movement, b) slight slowing c) amplitude decrements near the end of the ten taps.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the tapping movements, b) mild slowing, c) amplitude decrements midway in the task.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the tapping movements or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) amplitude decrements after the first tap.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"211" "mdsupdrslegagiltyrtelegsco_2" "mdsupdrs_physician_exam" "NP3LGAGR" NA "radio" "3.8 LEG ABILITY - Right" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement, b) slight slowing, c) amplitude decrements near the end of the task.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowness, c) amplitude decrements midway in the task.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing in speed, c) amplitude decrements after the first tap.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"212" "mdsupdrslegagiltylftlegsco_2" "mdsupdrs_physician_exam" "NP3LGAGL" NA "radio" "3.8 LEG ABILITY - Left" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement, b) slight slowing, c) amplitude decrements near the end of the task.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowness, c) amplitude decrements midway in the task.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing in speed, c) amplitude decrements after the first tap.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"213" "mdsupdrsarisingfrmchrscore_2" "mdsupdrs_physician_exam" "NP3RISNG" NA "radio" "3.9 ARISING FROM CHAIR" "0, 0 (Normal: No problems. Able to arise quickly without hesitation.) | 1, 1 (Slight: Arising is slower than normal, or may need more than one attempt, or may need to move forward in the chair to arise. No need to use the arms of the chair.) | 2, 2 (Mild: Pushes self up from arms of chair without difficulty.) | 3, 3 (Moderate: Needs to push off, but tends to fall back or may have to try more than one time using arms of chair, but can get up without help.) | 4, 4 (Severe: Unable to arise without help.)" NA NA
"214" "mdsupdrsgaitscore_2" "mdsupdrs_physician_exam" "NP3GAIT" NA "radio" "3.10 GAIT" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Independent walking with minor gait impairment.) | 2, 2 (Mild: Independent walking but with substantial gait impairment.) | 3, 3 (Moderate: Requires an assistance device for safe walking (walking stick, walker) but not a person.) | 4, 4 (Severe: Cannot walk at all or only with another person's assistance.)" NA NA
"215" "mdsupdrsfreezinggaitscore_2" "mdsupdrs_physician_exam" "NP3FRZGT" NA "radio" "3.11 FREEZING OF GAIT" "0, 0 (Normal: No freezing.) | 1, 1 (Slight: Freezes on starting, turning or walking through doorway with a single halt during any of these events, but then continues smoothly without freezing during straight walking.) | 2, 2 (Mild: Freezes on starting, turning or walking through doorway with more than one halt during any of these activities, but continues smoothly without freezing during straight walking.) | 3, 3 (Moderate: Freezes once during straight walking.) | 4, 4 (Severe: Freezes multiple times during straight walking.)" NA NA
"216" "mdsupdrsposstabil_2" "mdsupdrs_physician_exam" "NP3PSTBL" NA "radio" "3.12 POSTURAL STABILITY" "0, 0 (Normal: No problems: Recovers with one or two steps.) | 1, 1 (Slight: 3-5 steps, but subject recovers unaided.) | 2, 2 (Mild: More than 5 steps, but subject recovers unaided.) | 3, 3 (Moderate: Stands safely, but with absence of postural response; falls if not caught by examiner.) | 4, 4 (Severe: Very unstable, tends to lose balance spontaneously or with just a gentle pull on the shoulders.)" NA NA
"217" "mdsupdrsposturescore_2" "mdsupdrs_physician_exam" "NP3POSTR" NA "radio" "3.13 POSTURE" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Not quite erect, but posture could be normal for older person.) | 2, 2 (Mild: Definite flexion, scoliosis or leaning to one side, but patient can correct posture to normal posture when asked to do so.) | 3, 3 (Moderate: Stooped posture, scoliosis or leaning to one side that cannot be corrected volitionally to a normal posture by the patient.) | 4, 4 (Severe: Flexion, scoliosis or leaning with extreme abnormality of posture.)" NA NA
"218" "mdsupdrsglblspontntymvmnts_2" "mdsupdrs_physician_exam" "NP3BRADY" NA "radio" "3.14 GLOBAL SPONTANEITY OF MOVEMENT (BODY BRADYKINESIA)" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Slight global slowness and poverty of spontaneous movements.) | 2, 2 (Mild: Mild global slowness and poverty of spontaneous movements.) | 3, 3 (Moderate: Moderate global slowness and poverty of spontaneous movements.) | 4, 4 (Severe: Severe global slowness and poverty of spontaneous movements.)" NA NA
"219" "mdsupdrspostrltremorrthnds_2" "mdsupdrs_physician_exam" "NP3PTRMR" NA "radio" "3.15 POSTURAL TREMOR OF THE HANDS - Right" "0, 0 (Normal: No tremor.) | 1, 1 (Slight: Tremor is present but less than 1 cm in amplitude.) | 2, 2 (Mild: Tremor is at least 1 but less than 3 cm in amplitude.) | 3, 3 (Moderate: Tremor is at least 3 but less than 10 cm in amplitude.) | 4, 4 (Severe: Tremor is at least 10 cm in amplitude.)" NA NA
"220" "mdsupdrspostrltremrlfthnds_2" "mdsupdrs_physician_exam" "NP3PTRML" NA "radio" "3.15 POSTURAL TREMOR OF THE HANDS - Left" "0, 0 (Normal: No tremor.) | 1, 1 (Slight: Tremor is present but less than 1 cm in amplitude.) | 2, 2 (Mild: Tremor is at least 1 but less than 3 cm in amplitude.) | 3, 3 (Moderate: Tremor is at least 3 but less than 10 cm in amplitude.) | 4, 4 (Severe: Tremor is at least 10 cm in amplitude.)" NA NA
"221" "mdsupdrskinetictremrrthnds_2" "mdsupdrs_physician_exam" "NP3KTRMR" NA "radio" "3.16 KINETIC TREMOR OF THE HANDS - Right" "0, 0 (Normal: No tremor.) | 1, 1 (Slight: Tremor is present but less than 1 cm in amplitude.) | 2, 2 (Mild: Tremor is at least 1 but less than 3 cm in amplitude.) | 3, 3 (Moderate: Tremor is at least 3 but less than 10 cm in amplitude.) | 4, 4 (Severe: Tremor is at least 10 cm in amplitude.)" NA NA
"222" "mdsupdrskinetictremrlfthnd_2" "mdsupdrs_physician_exam" "NP3KTRML" NA "radio" "3.16 KINETIC TREMOR OF THE HANDS - Left" "0, 0 (Normal: No tremor.) | 1, 1 (Slight: Tremor is present but less than 1 cm in amplitude.) | 2, 2 (Mild: Tremor is at least 1 but less than 3 cm in amplitude.) | 3, 3 (Moderate: Tremor is at least 3 but less than 10 cm in amplitude.) | 4, 4 (Severe: Tremor is at least 10 cm in amplitude.)" NA NA
"223" "mdsupdrsresttremorampruesc_2" "mdsupdrs_physician_exam" "NP3RTARU" NA "radio" "3.17 REST TREMOR AMPLITUDE - RUE" "0, 0 (Normal: No tremor.) | 1, 1 (Slight.: < 1 cm in maximal amplitude.) | 2, 2 (Mild: > 1 cm but < 3 cm in maximal amplitude.) | 3, 3 (Moderate: 3 - 10 cm in maximal amplitude.) | 4, 4 (Severe: > 10 cm in maximal amplitude.)" NA NA
"224" "mdsupdrsresttremorampluesc_2" "mdsupdrs_physician_exam" "NP3RTALU" NA "radio" "3.17 REST TREMOR AMPLITUDE - LUE" "0, 0 (Normal: No tremor.) | 1, 1 (Slight.: < 1 cm in maximal amplitude.) | 2, 2 (Mild: > 1 cm but < 3 cm in maximal amplitude.) | 3, 3 (Moderate: 3 - 10 cm in maximal amplitude.) | 4, 4 (Severe: > 10 cm in maximal amplitude.)" NA NA
"225" "mdsupdrsresttremoramprlesc_2" "mdsupdrs_physician_exam" "NP3RTARL" NA "radio" "3.17 REST TREMOR AMPLITUDE - RLE" "0, 0 (Normal: No tremor.) | 1, 1 (Slight.: < 1 cm in maximal amplitude.) | 2, 2 (Mild: > 1 cm but < 3 cm in maximal amplitude.) | 3, 3 (Moderate: 3 - 10 cm in maximal amplitude.) | 4, 4 (Severe: > 10 cm in maximal amplitude.)" NA NA
"226" "mdsupdrsresttremorampllesc_2" "mdsupdrs_physician_exam" "NP3RTALL" NA "radio" "3.17 REST TREMOR AMPLITUDE - LLE" "0, 0 (Normal: No tremor.) | 1, 1 (Slight.: < 1 cm in maximal amplitude.) | 2, 2 (Mild: > 1 cm but < 3 cm in maximal amplitude.) | 3, 3 (Moderate: 3 - 10 cm in maximal amplitude.) | 4, 4 (Severe: > 10 cm in maximal amplitude.)" NA NA
"227" "mdsupdrsresttremramplipjaw_2" "mdsupdrs_physician_exam" "NP3RTALJ" NA "radio" "3.17 REST TREMOR AMPLITUDE - Lip/Jaw" "0, 0 (Normal: No tremor.) | 1, 1 (Slight.: < 1 cm in maximal amplitude.) | 2, 2 (Mild: > 1 cm but < 2 cm in maximal amplitude.) | 3, 3 (Moderate: > 2 cm but < 3 cm in maximal amplitude.) | 4, 4 (Severe: > 3 cm in maximal amplitude.)" NA NA
"228" "mdsupdrsconstncyresttremrs_2" "mdsupdrs_physician_exam" "NP3RTCON" NA "radio" "3.18 CONSTANCY OF REST TREMOR" "0, 0 (Normal: No tremor.) | 1, 1 (Slight: Tremor at rest is present < 25% of the entire examination period.) | 2, 2 (Mild: Tremor at rest is present 26-50% of the entire examination period.) | 3, 3 (Moderate: Tremor at rest is present 51-75% of the entire examination period.) | 4, 4 (Severe: Tremor at rest is present > 75% of the entire examination period.)" NA NA
"229" "mdsupdrsdyskchreadystnaprs_2" "mdsupdrs_physician_exam" "DYSKPRES" "DYSKINESIA IMPACT ON PART III RATINGS [ON]" "yesno" "A. Were dyskinesias (chorea or dystonia) present during examination?" NA NA NA
"230" "mdsupdrsmvmntintrfrncescor_2" "mdsupdrs_physician_exam" "DYSKIRAT" NA "yesno" "B. If yes, did these movements interfere with your ratings?" NA NA NA
"231" "mdsupdrshoehnyahrstagescor_2" "mdsupdrs_physician_exam" "NHY" NA "radio" "HOEHN AND YAHR STAGE" "0, 0 (Asymptomatic.) | 1, 1 (Unilateral involvement only.) | 2, 2 (Bilateral involvement without impairment of balance.) | 3, 3 (Mild to moderate involvement, some postural instability but physically independent, needs assistance to recover from pull test.) | 4, 4 (Severe disability, still able to walk or stand unassisted.) | 5, 5 (Wheelchair bound or bedridden unless aided.)" "Use clinical judgment to determine whether balance impairment is present" NA
"232" "mdsupdrsttlhrawkdysknum_spd" "mdsupdrs_physician_exam" NA "Part IV: Motor Complications

A. DYSKINESIAS [exclusive of OFF-state dystonia]" "text" "4.1.1 Total Hours Awake" NA NA "number"
"233" "mdsupdrsttlhrdysknum_spd" "mdsupdrs_physician_exam" NA NA "text" "4.1.2 Total Hours with Dyskinesia" NA NA "number"
"234" "mdsupdrsprcntdyskval_spd" "mdsupdrs_physician_exam" NA NA "calc" "4.1.3 Percent Dyskinesia" "[mdsupdrsttlhrdysknum_spd]/[mdsupdrsttlhrawkdysknum_spd]*100" NA NA
"235" "mdsupdrstmspntdyskscore_spd" "mdsupdrs_physician_exam" "NP4WDYSK" NA "radio" "4.1  TIME SPENT WITH DYSKINESIAS" "0, 0 (Normal: No dyskinesias.) | 1, 1 (Slight: <= 25 perecent of waking day.) | 2, 2 (Mild: 26-50 percent of waking day.) | 3, 3 (Moderate: 51-75 percent of waking day.) | 4, 4 (Severe: > 75 percent of waking day.)" NA NA
"236" "mdsupdrsfuncimpactdyskscor" "mdsupdrs_physician_exam" "NP4DYSKI" NA "radio" "4.2 FUNCTIONAL IMPACT OF DYSKINESIAS" "0, 0 (Normal: No dyskinesias or no impact by dyskinesias on activities or social interactions.) | 1, 1 (Slight: Dyskinesias impact on a few activities, but the patient usually performs all activities and participates in all social interactions during dyskinetic periods.) | 2, 2 (Mild: Dyskinesias impact on many activities, but the patient usually performs all activities and participates in all social interactions during dyskinetic periods.) | 3, 3 (Moderate: Dyskinesias impact on activities to the point that the patient usually does not perform some activities or does not usually participate in some social activities during dyskinetic episodes.) | 4, 4 (Severe: Dyskinesias impact on function to the point that the patient usually does not perform most activities or participate in most social interactions during dyskinetic episodes.)" NA NA
"237" "mdsupdrsttlhrawkoffstatenu" "mdsupdrs_physician_exam" NA "B. MOTOR FLUCTUATIONS" "text" "4.3.1 Total Hours Awake" NA NA "number"
"238" "mdsupdrsttlhroffnum_spd" "mdsupdrs_physician_exam" NA NA "text" "4.3.2 Total Hours OFF" NA NA "number"
"239" "mdsupdrsprcntoffval_spd" "mdsupdrs_physician_exam" NA NA "calc" "4.3.3 Percent OFF" "[mdsupdrsttlhroffnum_spd]/[mdsupdrsttlhrawkoffstatenu]*100" NA NA
"240" "mdsupdrstmspntoffstatescor" "mdsupdrs_physician_exam" "NP4OFF" NA "radio" "4.3 TIME SPENT IN THE OFF STATE" "0, 0 (Normal: No OFF time.) | 1, 1 (Slight: <= 25 percent of waking day.) | 2, 2 (Mild: 26-50 percent of waking day.) | 3, 3 (Moderate: 51-75 percent of waking day.) | 4, 4 (Severe: > 75 percent of waking day.)" NA NA
"241" "mdsupdrsfuncimpactfluctsco" "mdsupdrs_physician_exam" "NP4FLCTI" NA "radio" "4.4 FUNCTIONAL IMPACT OF FLUCTUATIONS" "0, 0 (Normal: No fluctuations or No impact by fluctuations on performance of activities or social interactions.) | 1, 1 (Slight: Fluctuations impact on a few activities, but during OFF, the patient usually performs all activities and participates in all social interactions that typically occur during the ON state.) | 2, 2 (Mild: Fluctuations impact many activities, but during OFF, the patient still usually performs all activities and participates in all social interactions that typically occur during the ON state.) | 3, 3 (Moderate: Fluctuations impact on the performance of activities during OFF to the point that the patient usually does not perform some activities or participate in some social interactions that are performed during ON periods.) | 4, 4 (Severe: Fluctuations impact on function to the point that, during OFF, the patient usually does not perform most activities or participate in most social interactions that are performed during ON periods.)" NA NA
"242" "mdsupdrscomplxtymtrfluctsc" "mdsupdrs_physician_exam" "NP4FLCTX" NA "radio" "4.5 COMPLEXITY OF MOTOR FLUCTUATIONS" "0, 0 (Normal: No motor fluctuations.) | 1, 1 (Slight: OFF times are predictable all or almost all of the time (> 75%).) | 2, 2 (Mild: OFF times are predictable most of the time (51-75%).) | 3, 3 (Moderate: OFF times are predictable some of the time (26-50%).) | 4, 4 (Severe: OFF episodes are rarely predictable (<= 25%).)" NA NA
"243" "mdsupdrsttlhroffdemndystni" "mdsupdrs_physician_exam" NA "C. \"OFF\" DYSTONIA" "text" "4.6.1 Total Hours OFF" NA NA "number"
"244" "mdsupdrsttlhroffwdystnianu" "mdsupdrs_physician_exam" NA NA "text" "4.6.2 Total Hours OFF with Dystonia" NA NA "number"
"245" "mdsupdrsprcntoffdystniaval" "mdsupdrs_physician_exam" NA NA "calc" "4.6.3 Percent OFF Dystonia" "[mdsupdrsttlhroffwdystnianu]/[mdsupdrsttlhroffdemndystni]*100" NA NA
"246" "mdsupdrs_dttm" "mdsupdrs_physician_exam" "NP4DYSTN" NA "radio" "4.6 PAINFUL OFF-STATE DYSTONIA" "0, 0 (Normal: No dystonia OR NO OFF TIME.) | 1, 1 (Slight: <= 25% of time in OFF state.) | 2, 2 (Mild: 26-50% of time in OFF state.) | 3, 3 (Moderate: 51-75% of time in OFF state.) | 4, 4 (Severe: > 75% of time in OFF state.)" NA NA
